"  1880,   55,    ""F"",    594843 "
"  1880,   60,    ""M"",    580298 "
"  1880,   60,    ""F"",    526956 "
"  1880,   65,    ""M"",    369398 "
"  1880,   65,    ""F"",    346303 "
"  1880,   70,    ""M"",    255422 "
"  1880,   70,    ""F"",    251860 "
"  1880,   75,    ""M"",    141628 "
"  1880,   75,    ""F"",    143513 "
"  1880,   80,    ""M"",    67526 "
"  1880,   80,    ""F"",    77290 "
"  1880,   85,    ""M"",    22437 "
"  1880,   85,    ""F"",    31227 "
"  1880,   90,    ""M"",    10272 "
"  1880,   90,    ""F"",    15451 "
"  1900,   0,    ""M"",    4619544 "
"  1900,   0,    ""F"",    4589196 "
"  1900,   5,    ""M"",    4465783 "
"  1900,   5,    ""F"",    4390483 "
"  1900,   10,    ""M"",    4057669 "
"  1900,   10,    ""F"",    4001749 "
"  1900,   15,    ""M"",    3774846 "
"  1900,   15,    ""F"",    3801743 "
"  1900,   20,    ""M"",    3694038 "
"  1900,   20,    ""F"",    3751061 "
"  1900,   25,    ""M"",    3389280 "
"  1900,   25,    ""F"",    3236056 "
"  1900,   30,    ""M"",    2918964 "
"  1900,   30,    ""F"",    2665174 "
"  1900,   35,    ""M"",    2633883 "
"  1900,   35,    ""F"",    2347737 "
"  1900,   40,    ""M"",    2261070 "
"  1900,   40,    ""F"",    2004987 "
"  1900,   45,    ""M"",    1868413 "
"  1900,   45,    ""F"",    1648025 "
"  1900,   50,    ""M"",    1571038 "
"  1900,   50,    ""F"",    1411981 "
"  1900,   55,    ""M"",    1161908 "
"  1900,   55,    ""F"",    1064632 "
"  1900,   60,    ""M"",    916571 "
"  1900,   60,    ""F"",    887508 "
"  1900,   65,    ""M"",    672663 "
"  1900,   65,    ""F"",    640212 "
"  1900,   70,    ""M"",    454747 "
"  1900,   70,    ""F"",    440007 "
"  1900,   75,    ""M"",    268211 "
"  1900,   75,    ""F"",    265879 "
"  1900,   80,    ""M"",    127435 "
"  1900,   80,    ""F"",    132449 "
"  1900,   85,    ""M"",    44008 "
"  1900,   85,    ""F"",    48614 "
"  1900,   90,    ""M"",    15164 "
"  1900,   90,    ""F"",    20093 "
"  1910,   0,    ""M"",    5296823 "
"  1910,   0,    ""F"",    5287477 "
"  1910,   5,    ""M"",    4991803 "
"  1910,   5,    ""F"",    4866139 "
"  1910,   10,    ""M"",    4650747 "
